epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_macro_recall,val_macro_precision,recall_A,recall_C,recall_D,recall_G,recall_H,recall_M,recall_N
1,1.617485523223877,0.3676632046699524,1.5113625526428223,0.5130687318489835,0.3856496059494759,0.3918980356037724,0.4370415095308087,0.0196078431372549,0.74,0.4166666666666667,0.5802469135802469,0.024390243902439025,0.25,0.7123745819397993
2,1.3545176982879639,0.5086027979850769,1.3663127422332764,0.5672797676669894,0.4253638507138125,0.42922884352551877,0.4895298532475677,0.0392156862745098,0.77,0.5,0.5925925925925926,0.0,0.3235294117647059,0.7792642140468228
3,1.2303556203842163,0.5555827021598816,1.2832648754119873,0.569215876089061,0.43499753971703725,0.43308989643175494,0.471258591570768,0.058823529411764705,0.75,0.5576923076923077,0.5864197530864198,0.0,0.35294117647058826,0.725752508361204
4,1.157430648803711,0.5731543898582458,1.225785493850708,0.5827686350435625,0.4561702098090135,0.4504073213578755,0.5014207346933889,0.09803921568627451,0.75,0.5737179487179487,0.6049382716049383,0.0,0.39705882352941174,0.7290969899665551
5,1.30339515209198,0.48261135816574097,1.2483547925949097,0.5430784123910939,0.4933349115132802,0.5001614938906228,0.536463536096661,0.09803921568627451,0.79,0.5032051282051282,0.7654320987654321,0.3902439024390244,0.45588235294117646,0.4983277591973244
6,1.1444182395935059,0.5707138776779175,1.1871761083602905,0.5701839303000968,0.5314354590997379,0.5440672496471677,0.56872114750266,0.1568627450980392,0.83,0.5544871794871795,0.7469135802469136,0.5365853658536586,0.4852941176470588,0.4983277591973244
7,1.0523391962051392,0.6069554686546326,1.1188164949417114,0.6030977734753146,0.5617816479384409,0.5694720309443866,0.6005467446193234,0.19607843137254902,0.84,0.5961538461538461,0.7345679012345679,0.5609756097560976,0.5,0.5585284280936454
8,0.9867966771125793,0.6356315016746521,1.0530428886413574,0.6340755082284608,0.5960878518131013,0.5924348950197826,0.6292171906547502,0.23529411764705882,0.84,0.6314102564102564,0.7345679012345679,0.5609756097560976,0.5294117647058824,0.6153846153846154
