epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_macro_recall,val_macro_precision,recall_Acne,recall_Actinic Keratosis,recall_Basal Cell Carcinoma,recall_Dermatofibroma,recall_Melanocytic Nevus (Nevus),recall_Melanoma,recall_Seborrheic Keratosis,recall_Squamous Cell Carcinoma
1,1.4054337739944458,0.4803257882595062,1.1276055574417114,0.5630511463844797,0.3366393999531946,0.33635362656414713,0.4948445696965027,0.9011857707509882,0.027777777777777776,0.23673469387755103,0.0,0.9018264840182648,0.1941544885177453,0.4291497975708502,0.0
2,1.079097867012024,0.5966650247573853,0.9663624167442322,0.6278659611992945,0.42586403886703666,0.41740984681874016,0.4897865345187088,0.9051383399209486,0.19444444444444445,0.40816326530612246,0.0,0.889269406392694,0.2985386221294363,0.6437246963562753,0.0
3,0.9703152179718018,0.6387650370597839,0.8918907642364502,0.6547619047619048,0.46049320631475477,0.45088218825717674,0.5065104547641819,0.9169960474308301,0.2916666666666667,0.4448979591836735,0.0,0.8881278538812786,0.35281837160751567,0.7125506072874493,0.0
4,0.9134055376052856,0.6564856171607971,0.8468049764633179,0.6688712522045855,0.4769756442414849,0.4686799689042312,0.5105020334007775,0.9209486166007905,0.3611111111111111,0.4489795918367347,0.0,0.886986301369863,0.3945720250521921,0.7368421052631579,0.0
5,1.1906015872955322,0.6059105396270752,0.8489346504211426,0.6935626102292769,0.5483233734124693,0.5278964472443641,0.6316761209745232,0.9130434782608695,0.5555555555555556,0.4775510204081633,0.058823529411764705,0.8767123287671232,0.46346555323590816,0.7489878542510121,0.12903225806451613
6,0.9015225768089294,0.6835066676139832,0.7624454498291016,0.7116402116402116,0.5604686041139452,0.5408026685080571,0.6834105165168731,0.9169960474308301,0.5833333333333334,0.5387755102040817,0.058823529411764705,0.8926940639269406,0.4697286012526096,0.7854251012145749,0.08064516129032258
7,0.8124339580535889,0.7034285664558411,0.7121120691299438,0.7279541446208113,0.581658167829838,0.5621117497207129,0.6984241752917519,0.9169960474308301,0.6527777777777778,0.5755102040816327,0.058823529411764705,0.9018264840182648,0.48851774530271397,0.805668016194332,0.0967741935483871
8,0.765692412853241,0.7182323336601257,0.6737473607063293,0.7367724867724867,0.5975463733494325,0.5775175867989295,0.711525610301234,0.924901185770751,0.6527777777777778,0.5959183673469388,0.058823529411764705,0.8972602739726028,0.5073068893528184,0.8218623481781376,0.16129032258064516
