epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_macro_recall,val_macro_precision,recall_Acne,recall_Actinic Keratosis,recall_Basal Cell Carcinoma,recall_Dermatofibroma,recall_Melanocytic Nevus (Nevus),recall_Melanoma,recall_Seborrheic Keratosis,recall_Squamous Cell Carcinoma
1,1.560202717781067,0.45743218064308167,1.248301386833191,0.5890652557319224,0.4640104994483909,0.4792735415781513,0.4817860046577847,0.9051383399209486,0.7222222222222222,0.30612244897959184,0.08823529411764706,0.7636986301369864,0.3653444676409186,0.4898785425101215,0.1935483870967742
2,1.2218248844146729,0.5868141651153564,1.069061040878296,0.6459435626102292,0.5500029701956206,0.568256816603957,0.5482240346765801,0.9130434782608695,0.7638888888888888,0.39183673469387753,0.20588235294117646,0.7671232876712328,0.4613778705636743,0.6396761133603239,0.4032258064516129
3,1.0951664447784424,0.6213747262954712,0.97892165184021,0.6622574955908289,0.5784252478196686,0.6031451971635879,0.5686317981346743,0.9169960474308301,0.7361111111111112,0.3836734693877551,0.35294117647058826,0.7728310502283106,0.48643006263048016,0.6923076923076923,0.4838709677419355
4,1.0208237171173096,0.6353530287742615,0.9264446496963501,0.6772486772486772,0.605141250770215,0.6342680545743473,0.5920715661162514,0.9288537549407114,0.7638888888888888,0.4122448979591837,0.4411764705882353,0.771689497716895,0.511482254697286,0.7125506072874493,0.532258064516129
5,1.2000383138656616,0.5476308465003967,0.96364426612854,0.6728395061728395,0.5895114221732392,0.6453751130395498,0.5737981250455362,0.9130434782608695,0.8472222222222222,0.3673469387755102,0.4117647058823529,0.747716894977169,0.5260960334029228,0.7530364372469636,0.5967741935483871
6,1.002056360244751,0.6389852166175842,0.8527520895004272,0.6900352733686067,0.6150553448178724,0.6579384182992005,0.6076787216673721,0.9130434782608695,0.8472222222222222,0.39591836734693875,0.4117647058823529,0.7773972602739726,0.5198329853862212,0.7854251012145749,0.6129032258064516
7,0.9120075702667236,0.6647955775260925,0.793460488319397,0.7001763668430335,0.6326780897557492,0.678602484775178,0.6230970991796261,0.9130434782608695,0.8611111111111112,0.4,0.5,0.7876712328767124,0.5323590814196242,0.7894736842105263,0.6451612903225806
8,0.854582667350769,0.6771228909492493,0.7543283104896545,0.7103174603174603,0.6507230577012799,0.6994900616820754,0.6376859081330806,0.9209486166007905,0.875,0.42448979591836733,0.5588235294117647,0.7888127853881278,0.5407098121085595,0.8097165991902834,0.6774193548387096
