epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_macro_recall,val_macro_precision,recall_Acne,recall_Actinic Keratosis,recall_Basal Cell Carcinoma,recall_Dermatofibroma,recall_Melanocytic Nevus (Nevus),recall_Melanoma,recall_Seborrheic Keratosis,recall_Squamous Cell Carcinoma
1,1.4496424198150635,0.4813714027404785,1.1590025424957275,0.5987654320987654,0.4422378526435624,0.4342413150437934,0.488258363391802,0.9051383399209486,0.4722222222222222,0.3469387755102041,0.0,0.8253424657534246,0.3173277661795407,0.5263157894736842,0.08064516129032258
2,1.1275365352630615,0.6032689213752747,0.9948261380195618,0.6468253968253969,0.5173763834399665,0.51393299313505,0.6609539878737253,0.9090909090909091,0.6944444444444444,0.4448979591836735,0.058823529411764705,0.8082191780821918,0.40292275574112735,0.680161943319838,0.11290322580645161
3,1.0119892358779907,0.6381046772003174,0.9151026606559753,0.6715167548500882,0.5645805866544886,0.556962688652204,0.6145940676181783,0.9209486166007905,0.7222222222222222,0.4489795918367347,0.08823529411764706,0.8070776255707762,0.4572025052192067,0.7368421052631579,0.27419354838709675
4,0.9471521377563477,0.6537339687347412,0.8680455088615417,0.6878306878306878,0.6075061456156636,0.5929550879583972,0.6543536136372492,0.924901185770751,0.6666666666666666,0.46122448979591835,0.20588235294117646,0.8184931506849316,0.47390396659707723,0.757085020242915,0.43548387096774194
5,1.1390401124954224,0.577073335647583,0.8929221630096436,0.691358024691358,0.6044570156159281,0.6235638387069629,0.6067822314426241,0.9169960474308301,0.8055555555555556,0.4326530612244898,0.2647058823529412,0.797945205479452,0.5135699373695198,0.757085020242915,0.5
6,0.9268074035644531,0.6678773760795593,0.7877677083015442,0.7054673721340388,0.6216353017101564,0.6322609388204709,0.6347702173174501,0.9169960474308301,0.8194444444444444,0.4530612244897959,0.23529411764705882,0.8139269406392694,0.5177453027139874,0.8016194331983806,0.5
7,0.8407350778579712,0.6919267177581787,0.7321089506149292,0.7195767195767195,0.6477022757457882,0.6523899660456324,0.6690303463638154,0.9169960474308301,0.8194444444444444,0.4857142857142857,0.29411764705882354,0.8287671232876712,0.524008350730689,0.8178137651821862,0.532258064516129
8,0.7896649241447449,0.7043090462684631,0.6952870488166809,0.7248677248677249,0.6508008174918065,0.6607486690399986,0.6624936817025897,0.9209486166007905,0.8333333333333334,0.4857142857142857,0.29411764705882354,0.8310502283105022,0.534446764091858,0.8218623481781376,0.5645161290322581
