dataset,winning_backbone,best_trial_number,best_trial_label,best_learning_rate,best_dropout,best_fine_tune_layers,best_validation_macro_f1,best_validation_accuracy,best_validation_loss,training_time_seconds
skin,resnet50,3,higher_learning_rate,0.0003,0.3,0,0.7070187484670584,0.7698412537574768,0.5826754570007324,2747.1859591999964
eye,resnet50,3,higher_learning_rate,0.0003,0.3,0,0.5998743508714391,0.6663461327552795,0.9108344316482544,1263.094605499995
oral,efficientnetb0,3,higher_learning_rate,0.0003,0.3,0,0.47665333963806206,0.5555555820465088,0.9414768815040588,134.68982929999765
