dataset,model_name,parameter_count,trainable_parameters,training_accuracy,best_val_accuracy,validation_accuracy,validation_loss,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,best_epoch,training_time_seconds,validation_inference_time_seconds,model_path,checkpoint_path,rank_by_validation_macro_f1,is_best_model
skin,resnet50,23604104,16392,0.7154806852340698,0.7469135522842407,0.7469135802469136,0.6329361200332642,0.7033474863725728,0.6475465938875486,0.6688688001360241,0.7443147339100153,5,3051.0341954999967,147.71090230000118,E:\Mega project\MedvisionAi-\ML-Model\models\comparisons\skin\resnet50.keras,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\skin_comparison_resnet50_best.keras,1,True
skin,mobilenetv2,2268232,10248,0.6601728200912476,0.6873897910118103,0.687389770723104,0.8151177167892456,0.6553716524749436,0.5271179174031178,0.5648747787001795,0.6742406619154881,5,1010.0039367999998,54.61829579999903,E:\Mega project\MedvisionAi-\ML-Model\models\comparisons\skin\mobilenetv2.keras,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\skin_comparison_mobilenetv2_best.keras,2,False
skin,efficientnetb0,4059819,10248,0.6793792247772217,0.6895943284034729,0.689594356261023,0.8031601309776306,0.6407572274900348,0.4938707288007761,0.503786693941468,0.6680626739281426,5,1323.9108084000036,81.79299750000064,E:\Mega project\MedvisionAi-\ML-Model\models\comparisons\skin\efficientnetb0.keras,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\skin_comparison_efficientnetb0_best.keras,3,False
