trial_number,trial_label,description,dataset,backbone,learning_rate,batch_size,dropout,optimizer,fine_tune_layers,fine_tuning_strategy,parameter_count,trainable_parameters,training_accuracy,best_validation_accuracy,best_validation_loss,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,best_epoch,training_time_seconds,validation_inference_time_seconds,checkpoint_path,rank_by_validation_macro_f1,is_best_configuration
3,higher_learning_rate,"Higher initial learning rate for faster adaptation (lr=3e-4, dropout=0.30)",oral,efficientnetb0,0.0003,32,0.3,adam,0,frozen,4054695,5124,0.46853676438331604,0.5555555820465088,0.9414768815040588,0.5247564935064934,0.501974532559639,0.47665333963806206,0.5214492450321966,4,134.68982929999765,5.967952300008619,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\oral_tuning_efficientnetb0_trial_3_best.keras,1,True
2,lower_learning_rate,"Lower initial learning rate for smoother optimization (lr=5e-5, dropout=0.30)",oral,efficientnetb0,5e-05,32,0.3,adam,0,frozen,4054695,5124,0.3730098605155945,0.5,1.1456853151321411,0.4634032634032634,0.45702369439071566,0.43468130512460307,0.46870674446447147,4,132.09302850000677,5.988467800008948,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\oral_tuning_efficientnetb0_trial_2_best.keras,2,False
4,higher_dropout,"Increased dropout regularization to mitigate overfitting (lr=1e-4, dropout=0.45)",oral,efficientnetb0,0.0001,32,0.45,adam,0,frozen,4054695,5124,0.40030327439308167,0.5246913433074951,1.0688258409500122,0.5209885742672627,0.4699186009026434,0.4343401968401968,0.4813434279483662,4,135.3007765999937,6.090154000004986,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\oral_tuning_efficientnetb0_trial_4_best.keras,3,False
1,baseline_frozen,"Baseline transfer learning with frozen backbone (lr=1e-4, dropout=0.30)",oral,efficientnetb0,0.0001,32,0.3,adam,0,frozen,4054695,5124,0.40485215187072754,0.5185185074806213,1.0564854145050049,0.5169606512890095,0.4645994519664733,0.42957534277627735,0.4759200109927004,4,134.49519760000112,6.050380800006678,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\oral_tuning_efficientnetb0_trial_1_best.keras,4,False
5,fine_tune_top_layers,"Unfreeze top 15 backbone layers with low learning rate (lr=1e-5, dropout=0.30)",oral,efficientnetb0,1e-05,32,0.3,adam,15,unfreeze_top_15_layers,4054695,913332,0.3752843141555786,0.46296295523643494,1.1971772909164429,0.4885903746240088,0.44950838168923274,0.4168942198883075,0.43142713229261415,4,151.0330216000002,6.138001399987843,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\oral_tuning_efficientnetb0_trial_5_best.keras,5,False
