dataset,model_name,parameter_count,trainable_parameters,training_accuracy,best_val_accuracy,validation_accuracy,validation_loss,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,best_epoch,training_time_seconds,validation_inference_time_seconds,model_path,checkpoint_path,rank_by_validation_macro_f1,is_best_model
oral,efficientnetb0,4054695,5124,0.4192570149898529,0.5370370149612427,0.5370370370370371,1.030076026916504,0.5758974771749878,0.4856544165054803,0.4612041286569588,0.5025128202975861,5,99.19379389999813,5.705367700000352,E:\Mega project\MedvisionAi-\ML-Model\models\comparisons\oral\efficientnetb0.keras,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\oral_comparison_efficientnetb0_best.keras,1,True
oral,mobilenetv2,2263108,5124,0.3866565525531769,0.42592594027519226,0.42592592592592593,1.154476284980774,0.38871791299216474,0.39283123791102514,0.3824082943841258,0.4096920100156346,5,78.93219709999539,4.427277299997513,E:\Mega project\MedvisionAi-\ML-Model\models\comparisons\oral\mobilenetv2.keras,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\oral_comparison_mobilenetv2_best.keras,2,False
oral,resnet50,23595908,8196,0.4184988737106323,0.42592594027519226,0.42592592592592593,1.2097361087799072,0.39077158609891055,0.39246856866537716,0.3765946010511228,0.40189461638737006,5,232.29069519999757,11.151600000004692,E:\Mega project\MedvisionAi-\ML-Model\models\comparisons\oral\resnet50.keras,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\oral_comparison_resnet50_best.keras,3,False
