dataset,model_name,parameter_count,trainable_parameters,training_accuracy,best_val_accuracy,validation_accuracy,validation_loss,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,best_epoch,training_time_seconds,validation_inference_time_seconds,model_path,checkpoint_path,rank_by_validation_macro_f1,is_best_model
eye,resnet50,23602055,14343,0.6054869890213013,0.6230769157409668,0.6230769230769231,1.022781252861023,0.7767170187976199,0.48817904531080974,0.4962296873182455,0.5921562378691007,5,1334.4644612999982,69.57701490000181,E:\Mega project\MedvisionAi-\ML-Model\models\comparisons\eye\resnet50.keras,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\eye_comparison_resnet50_best.keras,1,True
eye,efficientnetb0,4058538,8967,0.6035701632499695,0.5826923251152039,0.5826923076923077,1.1461460590362549,0.4824269746782142,0.4106768388862115,0.41691464607247386,0.5480036936073669,5,581.2132777000006,37.9064997999958,E:\Mega project\MedvisionAi-\ML-Model\models\comparisons\eye\efficientnetb0.keras,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\eye_comparison_efficientnetb0_best.keras,2,False
eye,mobilenetv2,2266951,8967,0.573140025138855,0.517307698726654,0.5173076923076924,1.2313446998596191,0.5508621594673319,0.3430045592519028,0.3256539977484881,0.45247676248929025,5,494.2166767000017,24.8717026000013,E:\Mega project\MedvisionAi-\ML-Model\models\comparisons\eye\mobilenetv2.keras,E:\Mega project\MedvisionAi-\ML-Model\checkpoints\eye_comparison_mobilenetv2_best.keras,3,False
