dataset,test_accuracy,macro_f1,weighted_f1,total_images,train_samples,test_samples,imbalance_ratio,worst_classes,top_confusion_pairs,total_misclassifications,high_confidence_errors,high_confidence_error_pct,correct_mean_conf,incorrect_mean_conf,corrupted_images,non_rgb_images,small_resolution_images,train_test_leakage_groups,train_val_leakage_groups,within_split_duplicate_groups
skin,0.7631578947368421,0.6851002649564445,0.7566959055563696,22719,18171,2280,25.67765567765568,"['Dermatofibroma (F1=0.4000, Rec=0.3429)', 'Squamous Cell Carcinoma (F1=0.5208, Rec=0.3906)', 'Melanoma (F1=0.6457, Rec=0.5988)']","['Melanoma -> Melanocytic Nevus (Nevus) (N=172, 35.8%)', 'Melanocytic Nevus (Nevus) -> Melanoma (N=75, 8.6%)', 'Basal Cell Carcinoma -> Melanocytic Nevus (Nevus) (N=47, 19.0%)']",540,95,17.59259259259259,0.7949443459510803,0.5792900323867798,0,1190,0,0,0,0
eye,0.681255946717412,0.6125337090399474,0.6679652665104879,10438,8347,1051,7.598784194528875,"['A (F1=0.2069, Rec=0.1154)', 'M (F1=0.4528, Rec=0.3200)', 'H (F1=0.6452, Rec=0.4762)']","['D -> N (N=81, 25.8%)', 'N -> D (N=52, 17.3%)', 'A -> D (N=39, 75.0%)']",335,27,8.059701492537313,0.6768943071365356,0.54646235704422,0,0,0,26,28,103
oral,0.48823529411764705,0.42622916044545117,0.45376060320048606,1651,1319,170,1.9441624365482233,"['NON CANCER 2 (F1=0.1935, Rec=0.1154)', 'CANCER (F1=0.3953, Rec=0.3469)', 'CANCER 1 (F1=0.4660, Rec=0.4898)']","['CANCER -> CANCER 1 (N=24, 49.0%)', 'NON CANCER 2 -> NON CANCER (N=19, 73.1%)', 'CANCER 1 -> CANCER (N=16, 32.7%)']",87,1,1.1494252873563218,0.5257821679115295,0.4906398355960846,0,196,14,108,93,377
