class_name,precision,recall,f1_score,support
Acne,0.9798387096774194,0.9529411764705882,0.9662027833001988,255
Actinic Keratosis,0.7758620689655172,0.6164383561643836,0.6870229007633588,73
Basal Cell Carcinoma,0.7428571428571429,0.631578947368421,0.6827133479212254,247
Dermatofibroma,0.48,0.34285714285714286,0.4,35
Melanocytic Nevus (Nevus),0.7544031311154599,0.879133409350057,0.8120063191153238,877
Melanoma,0.7007299270072993,0.5987525987525988,0.6457399103139013,481
Seborrheic Keratosis,0.7299270072992701,0.8064516129032258,0.7662835249042146,248
Squamous Cell Carcinoma,0.78125,0.390625,0.5208333333333334,64
